pdv_id,pdv,cidade,tipologia,vendedor,supervisor,regime_compra,mes_entrada,caso_plantado,mes_inicio_caso
0,Mercado Pedra Alta,Palmeira Torta,Minimercado,Igor Bezerra,Amanda Machado,mensal,2021-08,sangramento,2025-04
1,Pizza Umbu,Várzea Comprida,Pizzaria,Yara Santos,Eduardo Cardoso,ciclico,2026-01,normal,
2,Café Juriti,Taquaruçu do Meio,Cafeteria,Ricardo Teixeira,Sérgio Gonçalves,mensal,2021-08,normal,
3,Minimercado Rosa dos Ventos,Marimbondo,Minimercado,Aline Duarte,Sérgio Gonçalves,ciclico,2023-04,atrito,
4,Ponto do Lanche Esperança,Monte Cravo,Lanchonete,Adriana Xavier,Eduardo Cardoso,esporadico,2024-07,normal,
5,Cafeteria Serrana,Bela Corrente,Cafeteria,Gustavo Fonseca,Mariana Cunha,ciclico,2021-08,atrito,
6,Supermercado Moinho,Nova Aurora do Vale,Supermercado,Patrícia Braga,André Santos,ciclico,2021-08,atrito,
7,Ponto do Lanche Jacarandá,Cravinho do Sul,Lanchonete,Ricardo Teixeira,Sérgio Gonçalves,mensal,2026-04,normal,
8,Padaria Terra Boa,Ribeira Funda,Padaria,Silvana Silva,Vinícius Barbosa,mensal,2024-10,normal,
9,Casa de Refeições Aurora,Serra Cansada,Restaurante,Patrícia Braga,André Santos,esporadico,2022-11,atrito,
10,Pizza Ponte Velha,Serra Cansada,Pizzaria,Mariana Oliveira,Eduardo Cardoso,esporadico,2021-08,normal,
11,Cafeteria Oliveira,Vale Formoso do Norte,Cafeteria,Adriana Ferreira,André Santos,mensal,2021-08,sangramento,2025-07
12,Conveniência Veredas,Nova Aurora do Vale,Loja de Conveniência,Aline Duarte,Sérgio Gonçalves,mensal,2024-06,normal,
13,Padaria e Confeitaria Olaria,Piraquara do Oeste,Padaria,Kelly Santos,Eduardo Cardoso,mensal,2021-08,normal,
14,Padaria Ipanema Velha,Vila Cascata,Padaria,Gabriel Ferreira,André Santos,esporadico,2023-12,atrito,
15,Mercadinho Chapada,Porto Bandeira,Minimercado,Helena Vieira,Amanda Machado,ciclico,2021-08,atrito,
16,Restaurante Horizonte,Santa Ilha,Restaurante,Viviane Soares,Mariana Cunha,esporadico,2023-04,normal,
17,Ponto do Lanche Mirante,Ipê Sereno,Lanchonete,Joana Medeiros,Vinícius Barbosa,mensal,2025-02,normal,
18,Açaí Nova Era,Ribeira Funda,Açaiteria,Vinícius Carvalho,Amanda Machado,ciclico,2024-08,atrito,
19,Pizza Bandeirante,Marimbondo,Pizzaria,Paulo Camargo,Eduardo Cardoso,esporadico,2026-04,normal,
20,Mercadinho Aurora,São Braz do Campo,Minimercado,Carlos Teixeira,Eduardo Cardoso,ciclico,2023-07,normal,
21,Casa do Café Fonte Nova,Barra do Piraquê,Cafeteria,Daniel Mendes,André Santos,mensal,2021-08,atrito,
22,Cafeteria Palmeira,Ipê Sereno,Cafeteria,Sandra Cardoso,André Santos,esporadico,2021-08,normal,
23,Lanches Girassol,Ipê Sereno,Lanchonete,Diego Martins,Sérgio Gonçalves,mensal,2024-05,normal,
24,Casa de Refeições Chapada,Monte Cravo,Restaurante,Vanessa Teixeira,Sérgio Gonçalves,mensal,2021-08,normal,
25,Lanchonete Sossego,Guaraúna,Lanchonete,Yara Santos,Eduardo Cardoso,mensal,2025-06,normal,
26,Mercado Terra Boa,Monte Cravo,Minimercado,Aline Duarte,Sérgio Gonçalves,mensal,2021-08,atrito,
27,Sorveteria Orquídea,Fonte Limeira,Sorveteria,Aline Pacheco,Mariana Cunha,mensal,2021-08,degrau,2025-10
